,precision,recall,f1-score,support
LAYING,0.9960861056751468,0.9478584729981379,0.9713740458015268,537.0
SITTING,0.8433179723502304,0.745417515274949,0.7913513513513514,491.0
STANDING,0.7931596091205212,0.9154135338345865,0.849912739965096,532.0
WALKING,0.8292682926829268,0.9596774193548387,0.8897196261682243,496.0
WALKING_DOWNSTAIRS,0.9194029850746268,0.7333333333333333,0.8158940397350993,420.0
WALKING_UPSTAIRS,0.9018789144050104,0.9171974522292994,0.9094736842105263,471.0
accuracy,0.8747879199185612,0.8747879199185612,0.8747879199185612,0.8747879199185612
macro avg,0.8805189798847438,0.8698162878375241,0.871287581205304,2947.0
weighted avg,0.8799387753004646,0.8747879199185612,0.8736591416022067,2947.0
