,precision,recall,f1-score,support
LAYING,0.9944029850746269,0.9925512104283054,0.9934762348555451,537.0
SITTING,0.9203354297693921,0.8940936863543788,0.9070247933884298,491.0
STANDING,0.9102564102564102,0.9342105263157895,0.922077922077922,532.0
WALKING,0.9507874015748031,0.9737903225806451,0.9621513944223108,496.0
WALKING_DOWNSTAIRS,0.952020202020202,0.8976190476190476,0.9240196078431373,420.0
WALKING_UPSTAIRS,0.9090909090909091,0.9341825902335457,0.9214659685863874,471.0
accuracy,0.9395995928062436,0.9395995928062436,0.9395995928062436,0.9395995928062436
macro avg,0.9394822229643905,0.9377412305886187,0.9383693201956221,2947.0
weighted avg,0.9398562482082327,0.9395995928062436,0.9395036187133945,2947.0
