,precision,recall,f1-score,support
LAYING,0.47294117647058825,0.3743016759776536,0.4178794178794179,537.0
SITTING,0.31981981981981983,0.2892057026476578,0.3037433155080214,491.0
STANDING,0.42028985507246375,0.5451127819548872,0.4746317512274959,532.0
WALKING,0.5997067448680352,0.8245967741935484,0.6943972835314092,496.0
WALKING_DOWNSTAIRS,0.5537459283387622,0.40476190476190477,0.4676753782668501,420.0
WALKING_UPSTAIRS,0.8220551378446115,0.6963906581740976,0.7540229885057471,471.0
accuracy,0.5225653206650831,0.5225653206650831,0.5225653206650831,0.5225653206650831
macro avg,0.5314264437357135,0.5223949162849583,0.5187250224864902,2947.0
weighted avg,0.5265731087466664,0.5225653206650831,0.5164685599112917,2947.0
