,precision,recall,f1-score,support
LAYING,0.9926062846580407,1.0,0.9962894248608535,537.0
SITTING,0.9626373626373627,0.8920570264765784,0.9260042283298098,491.0
STANDING,0.9147424511545293,0.9680451127819549,0.9406392694063926,532.0
WALKING,0.9545454545454546,0.9737903225806451,0.9640718562874252,496.0
WALKING_DOWNSTAIRS,0.9746835443037974,0.9166666666666666,0.9447852760736196,420.0
WALKING_UPSTAIRS,0.9322381930184805,0.9639065817409767,0.9478079331941545,471.0
accuracy,0.9541907024092298,0.9541907024092298,0.9541907024092298,0.9541907024092298
macro avg,0.9552422150529442,0.9524109517078037,0.9532663313587092,2947.0
weighted avg,0.9549485330520419,0.9541907024092298,0.9540219144174908,2947.0
