,precision,recall,f1-score,support
LAYING,0.99812382739212,0.9906890130353817,0.994392523364486,537.0
SITTING,0.9684684684684685,0.8757637474541752,0.9197860962566845,491.0
STANDING,0.888507718696398,0.9736842105263158,0.9291479820627803,532.0
WALKING,0.9426386233269598,0.9939516129032258,0.9676153091265947,496.0
WALKING_DOWNSTAIRS,0.9899497487437185,0.9380952380952381,0.9633251833740831,420.0
WALKING_UPSTAIRS,0.9570815450643777,0.9469214437367304,0.951974386339381,471.0
accuracy,0.9545300305395318,0.9545300305395318,0.9545300305395318,0.9545300305395318
macro avg,0.9574616552820071,0.9531842109585112,0.954373580087335,2947.0
weighted avg,0.9563317540013323,0.9545300305395318,0.9544703736260314,2947.0
