,precision,recall,f1-score,support
LAYING,0.42967032967032964,0.7281191806331471,0.5404284727021423,537.0
SITTING,0.0,0.0,0.0,491.0
STANDING,0.46831530139103555,0.5695488721804511,0.5139949109414759,532.0
WALKING,0.6115007012622721,0.8790322580645161,0.7212572373862697,496.0
WALKING_DOWNSTAIRS,0.664179104477612,0.4238095238095238,0.5174418604651163,420.0
WALKING_UPSTAIRS,0.8848039215686274,0.7664543524416136,0.8213879408418657,471.0
accuracy,0.5663386494740414,0.5663386494740414,0.5663386494740414,0.5663386494740414
macro avg,0.509744893061646,0.5611606978548752,0.5190850703894784,2947.0
weighted avg,0.5018252209496116,0.5663386494740414,0.5176784098192647,2947.0
