,precision,recall,f1-score,support
LAYING,0.99609375,0.9497206703910615,0.9723546234509056,537.0
SITTING,0.8043478260869565,0.7535641547861507,0.7781282860147214,491.0
STANDING,0.7989778534923339,0.881578947368421,0.838248436103664,532.0
WALKING,0.8872180451127819,0.9516129032258065,0.9182879377431906,496.0
WALKING_DOWNSTAIRS,0.9275766016713092,0.7928571428571428,0.8549422336328626,420.0
WALKING_UPSTAIRS,0.8571428571428571,0.9044585987261147,0.8801652892561983,471.0
accuracy,0.8754665761791652,0.8754665761791652,0.8754665761791652,0.8754665761791652
macro avg,0.8785594889177064,0.8722987362257829,0.8736878010335904,2947.0
weighted avg,0.8782660173765838,0.8754665761791652,0.8752181865353267,2947.0
