,precision,recall,f1-score,support
LAYING,1.0,1.0,1.0,537.0
SITTING,0.9401330376940134,0.8635437881873728,0.9002123142250531,491.0
STANDING,0.8859649122807017,0.9492481203007519,0.9165154264972777,532.0
WALKING,0.9334600760456274,0.9899193548387096,0.9608610567514677,496.0
WALKING_DOWNSTAIRS,0.9748110831234257,0.9214285714285714,0.9473684210526315,420.0
WALKING_UPSTAIRS,0.9420600858369099,0.9320594479830149,0.9370330843116329,471.0
accuracy,0.9443501866304717,0.9443501866304717,0.9443501866304717,0.9443501866304717
macro avg,0.9460715324967796,0.9426998804564034,0.9436650504730105,2947.0
weighted avg,0.945390501493298,0.9443501866304717,0.9441516311105075,2947.0
