,precision,recall,f1-score,support
LAYING,0.9926062846580407,1.0,0.9962894248608535,537.0
SITTING,0.9457700650759219,0.8879837067209776,0.9159663865546218,491.0
STANDING,0.9102333931777379,0.9530075187969925,0.931129476584022,532.0
WALKING,0.9489194499017681,0.9737903225806451,0.9611940298507463,496.0
WALKING_DOWNSTAIRS,0.9766233766233766,0.8952380952380953,0.9341614906832298,420.0
WALKING_UPSTAIRS,0.9149797570850202,0.9596602972399151,0.9367875647668393,471.0
accuracy,0.9470648116728877,0.9470648116728877,0.9470648116728877,0.9470648116728877
macro avg,0.9481887210869776,0.9449466567627708,0.9459213955500521,2947.0
weighted avg,0.947895545607174,0.9470648116728877,0.946873025581746,2947.0
