,precision,recall,f1-score,support
LAYING,1.0,1.0,1.0,537.0
SITTING,0.9265658747300216,0.8737270875763747,0.89937106918239,491.0
STANDING,0.8908765652951699,0.9360902255639098,0.9129239230064161,532.0
WALKING,0.9243856332703214,0.9858870967741935,0.9541463414634146,496.0
WALKING_DOWNSTAIRS,0.9318734793187348,0.9119047619047619,0.9217809867629362,420.0
WALKING_UPSTAIRS,0.9285714285714286,0.8832271762208068,0.9053318824809575,471.0
accuracy,0.9338310145911096,0.9338310145911096,0.9338310145911096,0.9338310145911096
macro avg,0.9337121635309461,0.9318060580066745,0.9322590338160192,2947.0
weighted avg,0.9342142706150535,0.9338310145911096,0.9335197280158755,2947.0
