,precision,recall,f1-score,support
LAYING,0.5166051660516605,0.521415270018622,0.5189990732159406,537.0
SITTING,0.3181818181818182,0.1425661914460285,0.19690576652601968,491.0
STANDING,0.4585427135678392,0.6860902255639098,0.5496987951807228,532.0
WALKING,0.615819209039548,0.8790322580645161,0.7242524916943521,496.0
WALKING_DOWNSTAIRS,0.6433566433566433,0.4380952380952381,0.5212464589235127,420.0
WALKING_UPSTAIRS,0.8936708860759494,0.7494692144373672,0.815242494226328,471.0
accuracy,0.5727858839497795,0.5727858839497795,0.5727858839497795,0.5727858839497795
macro avg,0.5743627393789098,0.5694447329376137,0.5543908466278126,2947.0
weighted avg,0.5680909656431229,0.5727858839497795,0.5530895677388038,2947.0
