,precision,recall,f1-score,support
LAYING,0.9960238568588469,0.9329608938547486,0.9634615384615385,537.0
SITTING,0.7767441860465116,0.6802443991853361,0.7252985884907709,491.0
STANDING,0.7523961661341853,0.8853383458646616,0.8134715025906736,532.0
WALKING,0.8464285714285714,0.9556451612903226,0.8977272727272727,496.0
WALKING_DOWNSTAIRS,0.9240121580547113,0.7238095238095238,0.8117489986648865,420.0
WALKING_UPSTAIRS,0.8777555110220441,0.9299363057324841,0.9030927835051547,471.0
accuracy,0.8557855446216491,0.8557855446216491,0.8557855446216491,0.8557855446216491
macro avg,0.8622267415908117,0.8513224382895128,0.8524667807400496,2947.0
weighted avg,0.8611664371796259,0.8557855446216491,0.8543709875208553,2947.0
