,precision,recall,f1-score,support
LAYING,0.9961089494163424,0.9534450651769087,0.9743101807802094,537.0
SITTING,0.877030162412993,0.769857433808554,0.8199566160520607,491.0
STANDING,0.8159609120521173,0.9417293233082706,0.8743455497382199,532.0
WALKING,0.8341968911917098,0.9737903225806451,0.8986046511627906,496.0
WALKING_DOWNSTAIRS,0.9294117647058824,0.7523809523809524,0.8315789473684211,420.0
WALKING_UPSTAIRS,0.908315565031983,0.9044585987261147,0.9063829787234042,471.0
accuracy,0.8876823888700374,0.8876823888700374,0.8876823888700374,0.8876823888700374
macro avg,0.893504040801838,0.8826102826635743,0.8841964873041843,2947.0
weighted avg,0.8929605534885322,0.8876823888700374,0.8866075825827865,2947.0
