component,explained_variance_ratio,cumulative_variance
1,0.5078117229128634,0.5078117229128634
2,0.06580680266812829,0.5736185255809917
3,0.02806436774740566,0.6016828933283973
4,0.02503952745474856,0.6267224207831459
5,0.01888285014742613,0.645605270930572
6,0.017240064161301083,0.662845335091873
7,0.013710114685819369,0.6765554497776924
8,0.011990776796272801,0.6885462265739652
9,0.009958595109471453,0.6985048216834367
10,0.009650865903470845,0.7081556875869076
11,0.00860051648981834,0.7167562040767259
12,0.00800280949824152,0.7247590135749674
13,0.007639963685969014,0.7323989772609364
14,0.006453289239666639,0.738852266500603
15,0.00632324346444735,0.7451755099650503
16,0.005997220904126999,0.7511727308691774
17,0.005867503020269782,0.7570402338894471
18,0.005754073920092539,0.7627943078095396
19,0.005679210469969253,0.7684735182795088
20,0.00527295778835911,0.773746476067868
21,0.005003629248268505,0.7787501053161364
22,0.004884084061034478,0.7836341893771709
23,0.004782057840248316,0.7884162472174192
24,0.004685629299652188,0.7931018765170714
25,0.004492892601815216,0.7975947691188866
26,0.004210272427941612,0.8018050415468282
27,0.004179786815751286,0.8059848283625795
28,0.004055703692216866,0.8100405320547963
29,0.0038852416824878408,0.8139257737372841
30,0.003870180435570196,0.8177959541728543
31,0.003659588779196969,0.8214555429520513
32,0.0035455338067265814,0.8250010767587779
33,0.0034794260638326842,0.8284805028226105
34,0.0033718710936077156,0.8318523739162182
35,0.0032967699873032146,0.8351491439035215
36,0.003282150498954489,0.838431294402476
37,0.003205294778807226,0.8416365891812833
38,0.002956149387837739,0.844592738569121
39,0.0028672241527630546,0.8474599627218841
40,0.0028507454817283447,0.8503107082036124
41,0.0026876632351078623,0.8529983714387203
42,0.002656198586148986,0.8556545700248692
43,0.0026340598857348655,0.8582886299106041
44,0.0025885059564303096,0.8608771358670344
45,0.0024905487231031177,0.8633676845901376
46,0.0024695403366775154,0.8658372249268151
47,0.0024067991305987036,0.8682440240574139
48,0.0023611507519027833,0.8706051748093167
49,0.002302788570801412,0.8729079633801181
50,0.0022756724515445585,0.8751836358316627
51,0.002201646990368266,0.877385282822031
52,0.002134669837466451,0.8795199526594975
53,0.002077044559827401,0.8815969972193248
54,0.0020249662001629557,0.8836219634194877
55,0.0019977944127238397,0.8856197578322116
56,0.0019775062524661044,0.8875972640846777
57,0.0019427362709844016,0.889540000355662
58,0.0019023715977175616,0.8914423719533796
59,0.0018806489123438129,0.8933230208657235
60,0.0018621596950186188,0.895185180560742
61,0.0018146654429211898,0.8969998460036632
