,precision,recall,f1-score,support
LAYING,0.998109640831758,0.9832402234636871,0.9906191369606003,537.0
SITTING,0.8760330578512396,0.8635437881873728,0.8697435897435898,491.0
STANDING,0.8809523809523809,0.9041353383458647,0.8923933209647495,532.0
WALKING,0.9078694817658349,0.9536290322580645,0.9301868239921337,496.0
WALKING_DOWNSTAIRS,0.9465648854961832,0.8857142857142857,0.915129151291513,420.0
WALKING_UPSTAIRS,0.8839662447257384,0.8895966029723992,0.8867724867724868,471.0
accuracy,0.9151679674244995,0.9151679674244995,0.9151679674244995,0.9151679674244995
macro avg,0.9155826152705225,0.913309878490279,0.9141407516208454,2947.0
weighted avg,0.9158440418487793,0.9151679674244995,0.9152210978546206,2947.0
