,precision,recall,f1-score,support
LAYING,0.9942307692307693,0.962756052141527,0.978240302743614,537.0
SITTING,0.8773584905660378,0.7576374745417516,0.8131147540983606,491.0
STANDING,0.8130081300813008,0.9398496240601504,0.8718395815170009,532.0
WALKING,0.8252595155709342,0.9616935483870968,0.888268156424581,496.0
WALKING_DOWNSTAIRS,0.9159159159159159,0.7261904761904762,0.8100929614873837,420.0
WALKING_UPSTAIRS,0.9056603773584906,0.9171974522292994,0.9113924050632911,471.0
accuracy,0.8832711231761113,0.8832711231761113,0.8832711231761113,0.8832711231761113
macro avg,0.8885721997872413,0.8775541045917169,0.8788246935557051,2947.0
weighted avg,0.8882879909371622,0.8832711231761113,0.8817302057681587,2947.0
