,precision,recall,f1-score,support
LAYING,1.0,0.957169459962756,0.978116079923882,537.0
SITTING,0.8203991130820399,0.7535641547861507,0.7855626326963907,491.0
STANDING,0.7966386554621848,0.8909774436090225,0.8411712511091393,532.0
WALKING,0.8820224719101124,0.9495967741935484,0.9145631067961165,496.0
WALKING_DOWNSTAIRS,0.9596541786743515,0.7928571428571428,0.8683181225554107,420.0
WALKING_UPSTAIRS,0.8478260869565217,0.910828025477707,0.8781985670419652,471.0
accuracy,0.8791991856124872,0.8791991856124872,0.8791991856124872,0.8791991856124872
macro avg,0.8844234176808684,0.875832166814388,0.8776549600204842,2947.0
weighted avg,0.8834379766869117,0.8791991856124872,0.8789993656885059,2947.0
