,precision,recall,f1-score,support
LAYING,0.9961977186311787,0.9757914338919925,0.9858889934148636,537.0
SITTING,0.8780487804878049,0.879837067209776,0.8789420142421159,491.0
STANDING,0.8964879852125693,0.9116541353383458,0.9040074557315937,532.0
WALKING,0.9061302681992337,0.9536290322580645,0.9292730844793713,496.0
WALKING_DOWNSTAIRS,0.953125,0.8714285714285714,0.9104477611940298,420.0
WALKING_UPSTAIRS,0.8755186721991701,0.8959660297239915,0.8856243441762854,471.0
accuracy,0.9168646080760094,0.9168646080760094,0.9168646080760094,0.9168646080760094
macro avg,0.9175847374549928,0.9147177116417904,0.91569727553971,2947.0
weighted avg,0.9179281105837025,0.9168646080760094,0.9169838685497658,2947.0
