,precision,recall,f1-score,support
LAYING,1.0,1.0,1.0,537.0
SITTING,0.920997920997921,0.9022403258655805,0.911522633744856,491.0
STANDING,0.9114391143911439,0.9285714285714286,0.9199255121042831,532.0
WALKING,0.8957169459962756,0.969758064516129,0.9312681510164569,496.0
WALKING_DOWNSTAIRS,0.9568733153638814,0.8452380952380952,0.8975979772439949,420.0
WALKING_UPSTAIRS,0.9018789144050104,0.9171974522292994,0.9094736842105263,471.0
accuracy,0.9304377332880895,0.9304377332880895,0.9304377332880895,0.9304377332880895
macro avg,0.931151035192372,0.9271675610700888,0.9282979930533529,2947.0
weighted avg,0.9314702933212794,0.9304377332880895,0.9301731402164918,2947.0
